,Time,Hexagon,Buckets,Radius,Device,Percentage
257,Morning,881faea829fffff,5,0.01,Combined,0.4
258,Morning,881faea829fffff,5,0.1,Apple,0.6
259,Morning,881faea829fffff,5,0.1,Samsung,0.6
260,Morning,881faea829fffff,5,0.1,Combined,1.0
261,Morning,881faea829fffff,5,0.5,Apple,0.6
262,Morning,881faea829fffff,5,0.5,Samsung,0.6
263,Morning,881faea829fffff,5,0.5,Combined,1.0
264,Morning,881faea829fffff,5,1.0,Apple,0.6
265,Morning,881faea829fffff,5,1.0,Samsung,0.6
266,Morning,881faea829fffff,5,1.0,Combined,1.0
267,Morning,881faea829fffff,5,5.0,Apple,0.6
268,Morning,881faea829fffff,5,5.0,Samsung,0.6
269,Morning,881faea829fffff,5,5.0,Combined,1.0
270,Lunch,8843a035a3fffff,10,0.01,Apple,0.1
271,Lunch,8843a035a3fffff,10,0.01,Samsung,0.3
272,Lunch,8843a035a3fffff,10,0.01,Combined,0.3
273,Lunch,8843a035a3fffff,10,0.1,Apple,0.5
274,Lunch,8843a035a3fffff,10,0.1,Samsung,0.4
275,Lunch,8843a035a3fffff,10,0.1,Combined,0.6
276,Lunch,8843a035a3fffff,10,0.5,Apple,0.5
277,Lunch,8843a035a3fffff,10,0.5,Samsung,0.4
278,Lunch,8843a035a3fffff,10,0.5,Combined,0.6
279,Lunch,8843a035a3fffff,10,1.0,Apple,0.5
280,Lunch,8843a035a3fffff,10,1.0,Samsung,0.4
281,Lunch,8843a035a3fffff,10,1.0,Combined,0.6
282,Lunch,8843a035a3fffff,10,5.0,Apple,0.5
283,Lunch,8843a035a3fffff,10,5.0,Samsung,0.4
284,Lunch,8843a035a3fffff,10,5.0,Combined,0.6
285,Lunch,8843a022c3fffff,1,0.01,Apple,0.0
286,Lunch,8843a022c3fffff,1,0.01,Samsung,0.0
287,Lunch,8843a022c3fffff,1,0.01,Combined,0.0
288,Lunch,8843a022c3fffff,1,0.1,Apple,0.0
289,Lunch,8843a022c3fffff,1,0.1,Samsung,0.0
290,Lunch,8843a022c3fffff,1,0.1,Combined,0.0
291,Lunch,8843a022c3fffff,1,0.5,Apple,0.0
292,Lunch,8843a022c3fffff,1,0.5,Samsung,0.0
293,Lunch,8843a022c3fffff,1,0.5,Combined,0.0
294,Lunch,8843a022c3fffff,1,1.0,Apple,0.0
295,Lunch,8843a022c3fffff,1,1.0,Samsung,0.0
296,Lunch,8843a022c3fffff,1,1.0,Combined,0.0
297,Lunch,8843a022c3fffff,1,5.0,Apple,0.0
298,Lunch,8843a022c3fffff,1,5.0,Samsung,0.0
299,Lunch,8843a022c3fffff,1,5.0,Combined,0.0
300,Lunch,8843a02203fffff,11,0.01,Apple,0.0
301,Lunch,8843a02203fffff,11,0.01,Samsung,0.09090909090909091
302,Lunch,8843a02203fffff,11,0.01,Combined,0.09090909090909091
303,Lunch,8843a02203fffff,11,0.1,Apple,0.0
304,Lunch,8843a02203fffff,11,0.1,Samsung,0.18181818181818182
305,Lunch,8843a02203fffff,11,0.1,Combined,0.18181818181818182
306,Lunch,8843a02203fffff,11,0.5,Apple,0.0
307,Lunch,8843a02203fffff,11,0.5,Samsung,0.18181818181818182
308,Lunch,8843a02203fffff,11,0.5,Combined,0.18181818181818182
309,Lunch,8843a02203fffff,11,1.0,Apple,0.0
310,Lunch,8843a02203fffff,11,1.0,Samsung,0.18181818181818182
311,Lunch,8843a02203fffff,11,1.0,Combined,0.18181818181818182
312,Lunch,8843a02203fffff,11,5.0,Apple,0.0
313,Lunch,8843a02203fffff,11,5.0,Samsung,0.18181818181818182
314,Lunch,8843a02203fffff,11,5.0,Combined,0.18181818181818182
315,Lunch,8843a02207fffff,2,0.01,Apple,0.0
316,Lunch,8843a02207fffff,2,0.01,Samsung,0.0
317,Lunch,8843a02207fffff,2,0.01,Combined,0.0
318,Lunch,8843a02207fffff,2,0.1,Apple,0.0
319,Lunch,8843a02207fffff,2,0.1,Samsung,0.5
320,Lunch,8843a02207fffff,2,0.1,Combined,0.5
321,Lunch,8843a02207fffff,2,0.5,Apple,0.0
322,Lunch,8843a02207fffff,2,0.5,Samsung,0.5
323,Lunch,8843a02207fffff,2,0.5,Combined,0.5
324,Lunch,8843a02207fffff,2,1.0,Apple,0.0
325,Lunch,8843a02207fffff,2,1.0,Samsung,0.5
326,Lunch,8843a02207fffff,2,1.0,Combined,0.5
327,Lunch,8843a02207fffff,2,5.0,Apple,0.0
328,Lunch,8843a02207fffff,2,5.0,Samsung,0.5
329,Lunch,8843a02207fffff,2,5.0,Combined,0.5
330,Lunch,8843a02215fffff,1,0.01,Apple,0.0
331,Lunch,8843a02215fffff,1,0.01,Samsung,0.0
332,Lunch,8843a02215fffff,1,0.01,Combined,0.0
333,Lunch,8843a02215fffff,1,0.1,Apple,0.0
334,Lunch,8843a02215fffff,1,0.1,Samsung,0.0
335,Lunch,8843a02215fffff,1,0.1,Combined,0.0
336,Lunch,8843a02215fffff,1,0.5,Apple,0.0
337,Lunch,8843a02215fffff,1,0.5,Samsung,0.0
338,Lunch,8843a02215fffff,1,0.5,Combined,0.0
339,Lunch,8843a02215fffff,1,1.0,Apple,0.0
340,Lunch,8843a02215fffff,1,1.0,Samsung,0.0
341,Lunch,8843a02215fffff,1,1.0,Combined,0.0
342,Lunch,8843a02215fffff,1,5.0,Apple,0.0
343,Lunch,8843a02215fffff,1,5.0,Samsung,0.0
344,Lunch,8843a02215fffff,1,5.0,Combined,0.0
345,Lunch,8843a02267fffff,2,0.01,Apple,0.0
346,Lunch,8843a02267fffff,2,0.01,Samsung,0.0
