,User,Country,Device,Time,Distance,Percentage
263,Rohail,UAE,Combined,600,2.0,0.5734767025089605
264,Rohail,UAE,Apple,600,2.1,0.3870967741935484
265,Rohail,UAE,Samsung,600,2.1,0.4982078853046595
266,Rohail,UAE,Combined,600,2.1,0.5734767025089605
267,Rohail,UAE,Apple,600,2.2,0.3870967741935484
268,Rohail,UAE,Samsung,600,2.2,0.4982078853046595
269,Rohail,UAE,Combined,600,2.2,0.5734767025089605
270,Rohail,UAE,Apple,600,2.3000000000000003,0.3870967741935484
271,Rohail,UAE,Samsung,600,2.3000000000000003,0.4982078853046595
272,Rohail,UAE,Combined,600,2.3000000000000003,0.5734767025089605
273,Rohail,UAE,Apple,600,2.4000000000000004,0.3870967741935484
274,Rohail,UAE,Samsung,600,2.4000000000000004,0.4982078853046595
275,Rohail,UAE,Combined,600,2.4000000000000004,0.5734767025089605
276,Rohail,UAE,Apple,600,2.5,0.3870967741935484
277,Rohail,UAE,Samsung,600,2.5,0.4982078853046595
278,Rohail,UAE,Combined,600,2.5,0.5734767025089605
279,Rohail,UAE,Apple,600,2.6,0.3870967741935484
280,Rohail,UAE,Samsung,600,2.6,0.4982078853046595
281,Rohail,UAE,Combined,600,2.6,0.5734767025089605
282,Rohail,UAE,Apple,600,2.7,0.3870967741935484
283,Rohail,UAE,Samsung,600,2.7,0.4982078853046595
284,Rohail,UAE,Combined,600,2.7,0.5734767025089605
285,Rohail,UAE,Apple,600,2.8000000000000003,0.3870967741935484
286,Rohail,UAE,Samsung,600,2.8000000000000003,0.4982078853046595
287,Rohail,UAE,Combined,600,2.8000000000000003,0.5734767025089605
288,Rohail,UAE,Apple,600,2.9000000000000004,0.3870967741935484
289,Rohail,UAE,Samsung,600,2.9000000000000004,0.4982078853046595
290,Rohail,UAE,Combined,600,2.9000000000000004,0.5734767025089605
291,Rohail,UAE,Apple,600,3.0,0.3870967741935484
292,Rohail,UAE,Samsung,600,3.0,0.4982078853046595
293,Rohail,UAE,Combined,600,3.0,0.5734767025089605
294,Rohail,UAE,Apple,600,3.1,0.3870967741935484
295,Rohail,UAE,Samsung,600,3.1,0.4982078853046595
296,Rohail,UAE,Combined,600,3.1,0.5734767025089605
297,Rohail,UAE,Apple,600,3.2,0.3870967741935484
298,Rohail,UAE,Samsung,600,3.2,0.4982078853046595
299,Rohail,UAE,Combined,600,3.2,0.5734767025089605
300,Rohail,UAE,Apple,600,3.3000000000000003,0.3870967741935484
301,Rohail,UAE,Samsung,600,3.3000000000000003,0.4982078853046595
302,Rohail,UAE,Combined,600,3.3000000000000003,0.5734767025089605
303,Rohail,UAE,Apple,600,3.4000000000000004,0.3870967741935484
304,Rohail,UAE,Samsung,600,3.4000000000000004,0.4982078853046595
305,Rohail,UAE,Combined,600,3.4000000000000004,0.5734767025089605
306,Rohail,UAE,Apple,600,3.5,0.3870967741935484
307,Rohail,UAE,Samsung,600,3.5,0.4982078853046595
308,Rohail,UAE,Combined,600,3.5,0.5734767025089605
309,Rohail,UAE,Apple,600,3.6,0.3870967741935484
310,Rohail,UAE,Samsung,600,3.6,0.4982078853046595
311,Rohail,UAE,Combined,600,3.6,0.5734767025089605
312,Rohail,UAE,Apple,600,3.7,0.3870967741935484
313,Rohail,UAE,Samsung,600,3.7,0.4982078853046595
314,Rohail,UAE,Combined,600,3.7,0.5734767025089605
315,Rohail,UAE,Apple,600,3.8000000000000003,0.3870967741935484
316,Rohail,UAE,Samsung,600,3.8000000000000003,0.4982078853046595
317,Rohail,UAE,Combined,600,3.8000000000000003,0.5734767025089605
318,Rohail,UAE,Apple,600,3.9000000000000004,0.3870967741935484
319,Rohail,UAE,Samsung,600,3.9000000000000004,0.4982078853046595
320,Rohail,UAE,Combined,600,3.9000000000000004,0.5734767025089605
321,Rohail,UAE,Apple,600,4.0,0.3870967741935484
322,Rohail,UAE,Samsung,600,4.0,0.4982078853046595
323,Rohail,UAE,Combined,600,4.0,0.5734767025089605
324,Rohail,UAE,Apple,600,4.1000000000000005,0.3870967741935484
325,Rohail,UAE,Samsung,600,4.1000000000000005,0.4982078853046595
326,Rohail,UAE,Combined,600,4.1000000000000005,0.5734767025089605
327,Rohail,UAE,Apple,600,4.2,0.3870967741935484
328,Rohail,UAE,Samsung,600,4.2,0.4982078853046595
329,Rohail,UAE,Combined,600,4.2,0.5734767025089605
330,Rohail,UAE,Apple,600,4.3,0.3870967741935484
